data # struct_part # percentage
red # L3 # 0.004532186203717929
apr # L3 # 0.0013827008757105546
lk # L2 # 0.0009723988331214003
u # L1 # 0.009948269001193792
ulu # L3 # 0.0003840835765862652
sean # L4 # 0.001629881154499151
karen # L5 # 0.0006022483940042826
carrie # L6 # 0.0006407791874919902
kt # L2 # 0.0022439973072032313
lucia # L5 # 0.00020074946466809422
nc # L2 # 0.007031191562570125
ncc # L3 # 0.006222153940697496
z # L1 # 0.02009550338241146
marios # L6 # 0.00012815583749839805
boys # L4 # 0.00047538200339558573
myle # L4 # 6.791171477079796e-05
zgp # L3 # 7.681671531725304e-05
pkgeet # L6 # 0.00012815583749839805
rory # L4 # 0.00013582342954159593
old # L3 # 0.0005377170072207712
rsraj # L5 # 6.691648822269808e-05
pan # L3 # 0.0002304501459517591
jaybird # L7 # 0.0005051780752715333
meka # L4 # 0.00040747028862478775
quelea # L6 # 0.00012815583749839805
meb # L3 # 0.0002304501459517591
cmw # L3 # 0.0006145337225380243
home # L4 # 0.002241086587436333
q # L1 # 0.01343016315161162
thx # L3 # 0.00253495160546935
mq # L2 # 0.00014959982048021541
ttfn # L4 # 0.00013582342954159593
vb # L2 # 0.0006731991921609694
lank # L4 # 6.791171477079796e-05
alok # L4 # 6.791171477079796e-05
pooker # L6 # 0.00012815583749839805
jen # L3 # 0.003994469196497158
nai # L3 # 7.681671531725304e-05
ca # L2 # 0.007853990575211309
casa # L4 # 0.00027164685908319185
casabla # L7 # 0.00025258903763576663
casablanca # L10 # 0.005952380952380952
k # L1 # 0.0403899721448468
kk # L2 # 0.00426359488368614
be # L2 # 0.003964395242725708
bellatorre # L10 # 0.005952380952380952
ks # L2 # 0.0023935971276834466
angie # L5 # 0.0006691648822269807
song # L4 # 0.00033955857385398983
tom # L3 # 0.0015363343063450607
cla # L3 # 0.00030726686126901216
clara # L5 # 0.00013383297644539615
jc # L2 # 0.004637594434886678
jchlc # L5 # 6.691648822269808e-05
cam # L3 # 0.0012290674450760486
dj # L2 # 0.0029919964096043086
macj # L4 # 6.791171477079796e-05
fin # L3 # 0.0004609002919035182
nomad # L5 # 0.00013383297644539615
kg # L2 # 0.0008975989228812925
kl # L2 # 0.0022439973072032313
vision # L6 # 0.00038446751249519417
ireland # L7 # 0.0007577671129072998
erena # L5 # 6.691648822269808e-05
dro # L3 # 0.0002304501459517591
sgya # L4 # 6.791171477079796e-05
beth # L4 # 0.0009507640067911715
tedg # L4 # 0.00013582342954159593
wed # L3 # 0.0010754340144415425
susan # L5 # 0.0006691648822269807
load # L4 # 6.791171477079796e-05
gd # L2 # 0.0008975989228812925
july # L4 # 0.007741935483870968
robbie # L6 # 0.0005126233499935922
j # L1 # 0.04745324313569439
nick # L4 # 0.0027843803056027167
nickslick # L9 # 0.0029239766081871343
kel # L3 # 0.0006913504378552773
jef # L3 # 0.00253495160546935
jeff # L4 # 0.0020373514431239388
milo # L4 # 0.00020373514431239388
ewok # L4 # 0.00013582342954159593
c # L1 # 0.045065658575407876
b # L1 # 0.051631516116195784
groove # L6 # 0.0002563116749967961
dfa # L3 # 7.681671531725304e-05
abc # L3 # 0.01037025656782916
anar # L4 # 6.791171477079796e-05
rainey # L6 # 0.00012815583749839805
kmn # L3 # 0.00015363343063450608
duke # L4 # 0.0019694397283531407
watto # L5 # 6.691648822269808e-05
wattoo # L6 # 0.00012815583749839805
jman # L4 # 0.00020373514431239388
kev # L3 # 0.00030726686126901216
jvd # L3 # 7.681671531725304e-05
kp # L2 # 0.002094397486723016
rj # L2 # 0.0017203979355224774
kody # L4 # 0.00027164685908319185
nj # L2 # 0.002094397486723016
pratik # L6 # 0.0002563116749967961
uhawi # L5 # 6.691648822269808e-05
s # L1 # 0.07053322721846399
mu # L2 # 0.0003739995512005386
ljw # L3 # 0.00015363343063450608
ed # L2 # 0.0033659959608048472
edmund # L6 # 0.00012815583749839805
onybil # L6 # 0.0002563116749967961
onybill # L7 # 0.0005051780752715333
smar # L4 # 6.791171477079796e-05
furman # L6 # 0.0002563116749967961
r # L1 # 0.03780342220453641
neva # L4 # 6.791171477079796e-05
nevada # L6 # 0.00012815583749839805
dng # L3 # 0.00030726686126901216
mlh # L3 # 0.00015363343063450608
jajazm # L6 # 0.00012815583749839805
poetic # L6 # 0.00012815583749839805
ivanjs # L6 # 0.00012815583749839805
jb # L2 # 0.005086393896327325
ald # L3 # 0.0002304501459517591
sl # L2 # 0.0019447976662428006
olopla # L6 # 0.00012815583749839805
h # L1 # 0.03004377238360525
bite # L4 # 0.00047538200339558573
biteme # L6 # 0.0006407791874919902
kea # L3 # 0.0002304501459517591
ac # L2 # 0.03223876131348642
edgar # L5 # 0.0002676659528907923
tish # L4 # 0.00020373514431239388
pm # L2 # 0.0013463983843219388
vld # L3 # 0.00015363343063450608
tameru # L6 # 0.00012815583749839805
so # L2 # 0.0019447976662428006
solo # L4 # 0.00040747028862478775
an # L2 # 0.005834392998728402
moted # L5 # 6.691648822269808e-05
jets # L4 # 0.00013582342954159593
phywxtar # L8 # 0.0004127115146512588
nop # L3 # 0.00015363343063450608
fre # L3 # 0.0026885850361038563
free # L4 # 0.002173174872665535
freelance # L9 # 0.005847953216374269
p # L1 # 0.02686032630322324
poop # L4 # 0.0009507640067911715
mary # L4 # 0.0020373514431239388
ricol # L5 # 6.691648822269808e-05
self # L4 # 0.00013582342954159593
kcad # L4 # 6.791171477079796e-05
kaleb # L5 # 0.00020074946466809422
fuk # L3 # 0.00015363343063450608
cf # L2 # 0.0011219986536016157
windmills # L9 # 0.0029239766081871343
cc # L2 # 0.0055351933577679705
ual # L3 # 7.681671531725304e-05
uall # L4 # 6.791171477079796e-05
asscon # L6 # 0.0007689350249903883
picard # L6 # 0.0002563116749967961
baam # L4 # 6.791171477079796e-05
thumper # L7 # 0.0005051780752715333
gwen # L4 # 0.00033955857385398983
mor # L3 # 0.0002304501459517591
moriar # L6 # 0.00012815583749839805
ta # L2 # 0.006956391652330017
tanya # L5 # 0.00040149892933618843
hermit # L6 # 0.00012815583749839805
popoki # L6 # 0.00012815583749839805
mike # L4 # 0.006926994906621392
york # L4 # 0.00027164685908319185
mat # L3 # 0.004685819634352435
matt # L4 # 0.003259762308998302
sju # L3 # 7.681671531725304e-05
feb # L3 # 0.004532186203717929
ra # L2 # 0.005161193806567432
rayna # L5 # 6.691648822269808e-05
ear # L3 # 0.0004609002919035182
mark # L4 # 0.0027843803056027167
dar # L3 # 0.0006145337225380243
bear # L4 # 0.0013582342954159593
ajo # L3 # 0.00015363343063450608
gavin # L5 # 0.0006022483940042826
jpr # L3 # 7.681671531725304e-05
alia # L4 # 0.00013582342954159593
ftham # L5 # 6.691648822269808e-05
nu # L2 # 0.00044879946144064627
mika # L4 # 0.00033955857385398983
horn # L4 # 0.00033955857385398983
gabrie # L6 # 0.00012815583749839805
gabrielle # L9 # 0.0029239766081871343
tin # L3 # 0.00030726686126901216
liffick # L7 # 0.00025258903763576663
rush # L4 # 0.0031239388794567064
pavilion # L8 # 0.0012381345439537762
aya # L3 # 0.0016131510216623138
si # L2 # 0.0017203979355224774
m # L1 # 0.06466374850775965
mm # L2 # 0.005834392998728402
jjkl # L4 # 6.791171477079796e-05
chris # L5 # 0.0033458244111349037
stroe # L5 # 6.691648822269808e-05
stroede # L7 # 0.00025258903763576663
jwb # L3 # 0.00015363343063450608
march # L5 # 0.004215738758029978
alona # L5 # 0.00013383297644539615
hk # L2 # 0.0009723988331214003
lan # L3 # 0.0011522507297587956
landon # L6 # 0.0008970908624887864
o # L1 # 0.021189812972542778
csb # L3 # 0.0002304501459517591
gib # L3 # 7.681671531725304e-05
gibb # L4 # 6.791171477079796e-05
td # L2 # 0.0014211982945620464
pis # L3 # 0.00015363343063450608
pisces # L6 # 0.0002563116749967961
ris # L3 # 0.0004609002919035182
yank # L4 # 6.791171477079796e-05
zack # L4 # 0.0012903225806451613
flutediva # L9 # 0.0029239766081871343
reuben # L6 # 0.00012815583749839805
mba # L3 # 0.0004609002919035182
zeus # L4 # 0.0006112054329371816
d # L1 # 0.054715479506565856
v # L1 # 0.012236370871468364
mlesat # L6 # 0.00012815583749839805
nicky # L5 # 0.00020074946466809422
bc # L2 # 0.003440795871044955
vamsimd # L7 # 0.00025258903763576663
blue # L4 # 0.004889643463497453
g # L1 # 0.0238758456028651
partygirl # L9 # 0.0029239766081871343
fc # L2 # 0.00044879946144064627
mtjr # L4 # 6.791171477079796e-05
etzi # L4 # 6.791171477079796e-05
etzioni # L7 # 0.00025258903763576663
ma # L2 # 0.014735582317301219
martha # L6 # 0.0006407791874919902
ana # L3 # 0.0018436011676140728
nycgirl # L7 # 0.00025258903763576663
wnd # L3 # 7.681671531725304e-05
frog # L4 # 0.0006791171477079797
e # L1 # 0.041384799044966177
buhl # L4 # 6.791171477079796e-05
clg # L3 # 0.00015363343063450608
mp # L2 # 0.0026927967686438776
pesho # L5 # 6.691648822269808e-05
abcd # L4 # 0.008896434634974533
gda # L3 # 0.00015363343063450608
redsox # L6 # 0.0014097142124823785
rjl # L3 # 0.0003840835765862652
mjd # L3 # 0.0002304501459517591
w # L1 # 0.021786709112614405
slp # L3 # 0.00015363343063450608
ky # L2 # 0.0014211982945620464
elle # L4 # 0.00013582342954159593
dac # L3 # 7.681671531725304e-05
ynot # L4 # 0.00020373514431239388
bob # L3 # 0.001997234598248579
clk # L3 # 0.00015363343063450608
bauhaus # L7 # 0.0007577671129072998
mail # L4 # 0.00047538200339558573
lucy # L4 # 0.0014940577249575552
cat # L3 # 0.001920417882931326
dcs # L3 # 0.0006145337225380243
life # L4 # 0.001697792869269949
lifewise # L8 # 0.0004127115146512588
kaixo # L5 # 6.691648822269808e-05
jg # L2 # 0.0023935971276834466
rads # L4 # 6.791171477079796e-05
pegas # L5 # 0.00020074946466809422
ck # L2 # 0.0020195975764829084
lt # L2 # 0.001570798115042262
brav # L4 # 6.791171477079796e-05
pjf # L3 # 7.681671531725304e-05
brew # L4 # 6.791171477079796e-05
crax # L4 # 6.791171477079796e-05
sh # L2 # 0.0037399955120053854
pisa # L4 # 0.00013582342954159593
ct # L2 # 0.001795197845762585
trixie # L6 # 0.0002563116749967961
jdl # L3 # 0.00015363343063450608
rhys # L4 # 0.00013582342954159593
sid # L3 # 0.00030726686126901216
misstif # L7 # 0.00025258903763576663
misstiff # L8 # 0.0004127115146512588
muffin # L6 # 0.0015378700499807767
boo # L3 # 0.0013827008757105546
jkd # L3 # 0.00015363343063450608
sha # L3 # 0.0028422184667383625
shana # L5 # 0.0002676659528907923
ksa # L3 # 0.00030726686126901216
hb # L2 # 0.0008975989228812925
ge # L2 # 0.0025431969481636623
crein # L5 # 6.691648822269808e-05
fe # L2 # 0.0013463983843219388
ken # L3 # 0.002304501459517591
kenhen # L6 # 0.00012815583749839805
avery # L5 # 0.00040149892933618843
xxx # L3 # 0.0014595175910278077
xxxx # L4 # 6.791171477079796e-05
kita # L4 # 0.00027164685908319185
austin # L6 # 0.0020504933999743688
psa # L3 # 0.00015363343063450608
booby # L5 # 0.00020074946466809422
ranae # L5 # 6.691648822269808e-05
cls # L3 # 0.0002304501459517591
ko # L2 # 0.0013463983843219388
november # L8 # 0.004952538175815105
la # L2 # 0.005983992819208617
lana # L4 # 0.00020373514431239388
aug # L3 # 0.0037640190505453986
stupidas # L8 # 0.0004127115146512588
stupidass # L9 # 0.0029239766081871343
rm # L2 # 0.003141596230084524
djt # L3 # 0.00015363343063450608
rita # L4 # 0.0005432937181663837
beck # L4 # 0.00047538200339558573
ekn # L3 # 7.681671531725304e-05
une # L3 # 0.0009218005838070364
qual # L4 # 6.791171477079796e-05
quall # L5 # 6.691648822269808e-05
asso # L4 # 0.0014940577249575552
dcshoes # L7 # 0.00025258903763576663
tapw # L4 # 6.791171477079796e-05
arque # L5 # 6.691648822269808e-05
arquette # L8 # 0.0004127115146512588
dkd # L3 # 7.681671531725304e-05
van # L3 # 0.0005377170072207712
since # L5 # 0.00033458244111349034
pony # L4 # 0.00033955857385398983
gale # L4 # 0.00013582342954159593
hoop # L4 # 0.00013582342954159593
catbry # L6 # 0.00012815583749839805
jisl # L4 # 6.791171477079796e-05
jayz # L4 # 6.791171477079796e-05
petrou # L6 # 0.00012815583749839805
uchan # L5 # 0.00020074946466809422
uchanan # L7 # 0.00025258903763576663
hpkam # L5 # 6.691648822269808e-05
basebal # L7 # 0.0015155342258145997
baseball # L8 # 0.0024762690879075525
georgie # L7 # 0.00025258903763576663
eric # L4 # 0.002173174872665535
npr # L3 # 7.681671531725304e-05
newhal # L6 # 0.00012815583749839805
newhall # L7 # 0.00025258903763576663
sai # L3 # 0.0007681671531725304
ki # L2 # 0.0021691973969631237
kiwi # L4 # 0.00033955857385398983
snaps # L5 # 6.691648822269808e-05
ben # L3 # 0.0028422184667383625
benjermin # L9 # 0.0029239766081871343
ar # L2 # 0.005759593088488293
arger # L5 # 6.691648822269808e-05
ag # L2 # 0.0041139950632059245
ab # L2 # 0.008751589498092602
pip # L3 # 7.681671531725304e-05
megaf # L5 # 6.691648822269808e-05
timus # L5 # 6.691648822269808e-05
apba # L4 # 6.791171477079796e-05
ath # L3 # 0.0002304501459517591
lilith # L6 # 0.00012815583749839805
sco # L3 # 0.0008449838684897833
scorpio # L7 # 0.0022733013387218996
cbs # L3 # 0.0002304501459517591
hope # L4 # 0.0011544991511035654
mason # L5 # 0.0007360813704496788
hopey # L5 # 6.691648822269808e-05
lm # L2 # 0.0014959982048021543
dmband # L6 # 0.00012815583749839805
uop # L3 # 7.681671531725304e-05
mjm # L3 # 0.0003840835765862652
jwad # L4 # 6.791171477079796e-05
jingle # L6 # 0.00012815583749839805
hicks # L5 # 0.00020074946466809422
douglas # L7 # 0.0010103561505430665
douglass # L8 # 0.0008254230293025176
imfre # L5 # 6.691648822269808e-05
imfree # L6 # 0.00012815583749839805
adedi # L5 # 6.691648822269808e-05
md # L2 # 0.0030667963198444162
flowerchild # L11 # 0.0136986301369863
sls # L3 # 0.00015363343063450608
andrew # L6 # 0.0030757400999615533
maui # L4 # 0.00040747028862478775
cmdj # L4 # 6.791171477079796e-05
qwer # L4 # 0.0049575551782682515
cjo # L3 # 0.00015363343063450608
pring # L5 # 0.00020074946466809422
david # L5 # 0.0030112419700214135
axo # L3 # 7.681671531725304e-05
kgf # L3 # 7.681671531725304e-05
achabs # L6 # 0.00012815583749839805
aex # L3 # 7.681671531725304e-05
grow # L4 # 0.00013582342954159593
ama # L3 # 0.0024581348901520973
amaica # L6 # 0.0002563116749967961
ia # L2 # 0.0007479991024010772
modhu # L5 # 6.691648822269808e-05
ooks # L4 # 6.791171477079796e-05
maya # L4 # 0.0008149405772495755
atlas # L5 # 6.691648822269808e-05
mn # L2 # 0.0013463983843219388
im # L2 # 0.0019447976662428006
sparky # L6 # 0.0007689350249903883
riddle # L6 # 0.00012815583749839805
riddleone # L9 # 0.0029239766081871343
iad # L3 # 7.681671531725304e-05
pugs # L4 # 6.791171477079796e-05
octo # L4 # 0.00047538200339558573
ruesanremo # L10 # 0.005952380952380952
aa # L2 # 0.014137183035380358
code # L4 # 0.00033955857385398983
ivan # L4 # 0.00040747028862478775
aaa # L3 # 0.001920417882931326
arigato # L7 # 0.00025258903763576663
jeep # L4 # 0.0006112054329371816
wk # L2 # 0.0007479991024010772
ema # L3 # 7.681671531725304e-05
dad # L3 # 0.0013058841603933015
hsp # L3 # 0.00015363343063450608
ace # L3 # 0.0018436011676140728
mfc # L3 # 0.00030726686126901216
jessica # L7 # 0.0035362465269007325
sept # L4 # 0.003259762308998302
mbhs # L4 # 0.00020373514431239388
hardcash # L8 # 0.0004127115146512588
jhnl # L4 # 6.791171477079796e-05
veg # L3 # 0.0002304501459517591
jd # L2 # 0.0030667963198444162
rick # L4 # 0.0011544991511035654
ilagwamhas # L10 # 0.005952380952380952
kids # L4 # 0.0012903225806451613
cnl # L3 # 7.681671531725304e-05
rico # L4 # 0.00047538200339558573
truck # L5 # 0.00033458244111349034
nov # L3 # 0.0054539867875249655
rgjte # L5 # 6.691648822269808e-05
cs # L2 # 0.0032163961403246315
dpimboku # L8 # 0.0004127115146512588
kolt # L4 # 0.00013582342954159593
pyto # L4 # 6.791171477079796e-05
boyo # L4 # 6.791171477079796e-05
sandy # L5 # 0.0006691648822269807
bpcr # L4 # 6.791171477079796e-05
li # L2 # 0.0014959982048021543
rook # L4 # 0.00020373514431239388
devra # L5 # 6.691648822269808e-05
jk # L2 # 0.004188794973446032
porkpiehat # L10 # 0.005952380952380952
cfd # L3 # 0.00015363343063450608
sari # L4 # 6.791171477079796e-05
sariti # L6 # 0.00012815583749839805
may # L3 # 0.011445690582270702
dbp # L3 # 7.681671531725304e-05
mbeck # L5 # 6.691648822269808e-05
vrt # L3 # 7.681671531725304e-05
cajl # L4 # 6.791171477079796e-05
apu # L3 # 7.681671531725304e-05
kat # L3 # 0.0016131510216623138
as # L2 # 0.009948388061934326
le # L2 # 0.004787194255366893
funding # L7 # 0.0005051780752715333
munna # L5 # 6.691648822269808e-05
gq # L2 # 7.479991024010771e-05
sag # L3 # 0.0004609002919035182
mi # L2 # 0.0038147954222454935
mimi # L4 # 0.0014261460101867571
dpa # L3 # 7.681671531725304e-05
noah # L4 # 0.001697792869269949
happycats # L9 # 0.0029239766081871343
da # L2 # 0.005161193806567432
dana # L4 # 0.0008149405772495755
wnynj # L5 # 6.691648822269808e-05
egypt # L5 # 0.00013383297644539615
dead # L4 # 0.00013582342954159593
xty # L3 # 0.00015363343063450608
io # L2 # 0.00022439973072032313
ja # L2 # 0.008078390305931634
jaka # L4 # 6.791171477079796e-05
jakarta # L7 # 0.00025258903763576663
dri # L3 # 0.00015363343063450608
dme # L3 # 7.681671531725304e-05
jedimaster # L10 # 0.005952380952380952
lv # L2 # 0.0007479991024010772
immac # L5 # 6.691648822269808e-05
deepak # L6 # 0.0002563116749967961
infinia # L7 # 0.00025258903763576663
sep # L3 # 0.0015363343063450607
kwba # L4 # 6.791171477079796e-05
aac # L3 # 0.00015363343063450608
maka # L4 # 0.00013582342954159593
mr # L2 # 0.0027675966788839853
tcd # L3 # 0.0002304501459517591
one # L3 # 0.0011522507297587956
onelove # L7 # 0.0005051780752715333
rachel # L6 # 0.0019223375624759708
gmg # L3 # 0.00015363343063450608
techgod # L7 # 0.00025258903763576663
fbmbos # L6 # 0.00012815583749839805
fbmboss # L7 # 0.00025258903763576663
aura # L4 # 0.00040747028862478775
abu # L3 # 7.681671531725304e-05
sv # L2 # 0.0008975989228812925
ndou # L4 # 6.791171477079796e-05
lem # L3 # 0.0002304501459517591
mjk # L3 # 0.0002304501459517591
mb # L2 # 0.0030667963198444162
cats # L4 # 0.00040747028862478775
ir # L2 # 0.000523599371680754
ok # L2 # 0.0021691973969631237
gp # L2 # 0.0009723988331214003
jh # L2 # 0.0030667963198444162
ljt # L3 # 0.00030726686126901216
arima # L5 # 6.691648822269808e-05
diane # L5 # 0.0002676659528907923
luv # L3 # 0.0008449838684897833
rk # L2 # 0.0014959982048021543
kh # L2 # 0.002094397486723016
ucf # L3 # 0.00015363343063450608
donny # L5 # 6.691648822269808e-05
pog # L3 # 0.00015363343063450608
tori # L4 # 0.0007470288624787776
ms # L2 # 0.002917196499364201
chun # L4 # 0.00020373514431239388
chunman # L7 # 0.00025258903763576663
chunmann # L8 # 0.0004127115146512588
feener # L6 # 0.00012815583749839805
fish # L4 # 0.0010186757215619694
ahimsa # L6 # 0.00012815583749839805
jmg # L3 # 0.00030726686126901216
dd # L2 # 0.004787194255366893
emmley # L6 # 0.00012815583749839805
nw # L2 # 0.0005983992819208617
sanu # L4 # 6.791171477079796e-05
jdh # L3 # 0.0003840835765862652
bern # L4 # 0.00020373514431239388
gfg # L3 # 7.681671531725304e-05
cleo # L4 # 0.0009507640067911715
indugrov # L8 # 0.0004127115146512588
jul # L3 # 0.0005377170072207712
magic # L5 # 0.0008699143468950749
tn # L2 # 0.0011219986536016157
tofu # L4 # 6.791171477079796e-05
mid # L3 # 0.0005377170072207712
midd # L4 # 0.00013582342954159593
zorz # L4 # 6.791171477079796e-05
houria # L6 # 0.00012815583749839805
kerouac # L7 # 0.00025258903763576663
jls # L3 # 0.0005377170072207712
gr # L2 # 0.0019447976662428006
ou # L2 # 0.0014211982945620464
liz # L3 # 0.0009218005838070364
har # L3 # 0.0006145337225380243
cade # L4 # 0.00047538200339558573
kats # L4 # 6.791171477079796e-05
dk # L2 # 0.0017203979355224774
gordon # L6 # 0.0006407791874919902
ha # L2 # 0.0037399955120053854
mj # L2 # 0.0030667963198444162
aaj # L3 # 0.00015363343063450608
nonnad # L6 # 0.00012815583749839805
vet # L3 # 0.00015363343063450608
rhu # L3 # 7.681671531725304e-05
diva # L4 # 0.0010186757215619694
ive # L3 # 0.0002304501459517591
jas # L3 # 0.0010754340144415425
sped # L4 # 6.791171477079796e-05
mbs # L3 # 0.0002304501459517591
hh # L2 # 0.0014959982048021543
oxy # L3 # 0.00030726686126901216
rms # L3 # 0.0002304501459517591
rmskls # L6 # 0.00012815583749839805
jm # L2 # 0.005086393896327325
gerri # L5 # 0.00013383297644539615
i # L1 # 0.022682053322721846
sbj # L3 # 7.681671531725304e-05
dreams # L6 # 0.0008970908624887864
base # L4 # 0.00020373514431239388
nenita # L6 # 0.00012815583749839805
jewboy # L6 # 0.00012815583749839805
aag # L3 # 0.00015363343063450608
hmrh # L4 # 6.791171477079796e-05
ccn # L3 # 7.681671531725304e-05
valtine # L7 # 0.00025258903763576663
ene # L3 # 0.0002304501459517591
jmsa # L4 # 6.791171477079796e-05
jmsara # L6 # 0.00012815583749839805
leslie # L6 # 0.0006407791874919902
byron # L5 # 6.691648822269808e-05
astarian # L8 # 0.0004127115146512588
casey # L5 # 0.0008699143468950749
dani # L4 # 0.0008149405772495755
ml # L2 # 0.0016455980252823696
ellen # L5 # 0.00040149892933618843
dp # L2 # 0.0022439973072032313
pp # L2 # 0.0016455980252823696
jz # L2 # 0.000523599371680754
jzz # L3 # 7.681671531725304e-05
bi # L2 # 0.000523599371680754
biwi # L4 # 6.791171477079796e-05
phred # L5 # 6.691648822269808e-05
radha # L5 # 0.00020074946466809422
secret # L6 # 0.00038446751249519417
rcd # L3 # 7.681671531725304e-05
soul # L4 # 0.00027164685908319185
blueve # L6 # 0.00012815583749839805
bluevette # L9 # 0.0029239766081871343
suzy # L4 # 0.00033955857385398983
nessa # L5 # 6.691648822269808e-05
cab # L3 # 0.004685819634352435
kiko # L4 # 0.00040747028862478775
diwer # L5 # 6.691648822269808e-05
diwerir # L7 # 0.00025258903763576663
kimi # L4 # 0.00013582342954159593
april # L5 # 0.00555406852248394
stef # L4 # 0.00040747028862478775
daes # L4 # 6.791171477079796e-05
darkangel # L9 # 0.0029239766081871343
hs # L2 # 0.001047198743361508
paul # L4 # 0.002105263157894737
djw # L3 # 0.0002304501459517591
sns # L3 # 0.0002304501459517591
noon # L4 # 6.791171477079796e-05
noonan # L6 # 0.00012815583749839805
ple # L3 # 0.0003840835765862652
plee # L4 # 6.791171477079796e-05
bg # L2 # 0.0014211982945620464
kzach # L5 # 6.691648822269808e-05
smb # L3 # 0.0003840835765862652
rf # L2 # 0.000523599371680754
kis # L3 # 0.0013827008757105546
kiss # L4 # 0.0012224108658743633
dfgt # L4 # 6.791171477079796e-05
lkml # L4 # 6.791171477079796e-05
zz # L2 # 0.003440795871044955
zzz # L3 # 0.0006913504378552773
zzzz # L4 # 0.00013582342954159593
poon # L4 # 0.00013582342954159593
karl # L4 # 0.00027164685908319185
es # L2 # 0.0018699977560026927
esus # L4 # 0.00047538200339558573
ags # L3 # 0.0004609002919035182
yes # L3 # 0.0005377170072207712
greenaway # L9 # 0.0029239766081871343
bb # L2 # 0.0041139950632059245
crw # L3 # 0.00030726686126901216
star # L4 # 0.0031239388794567064
lori # L4 # 0.00047538200339558573
write # L5 # 0.0016729122055674519
bye # L3 # 7.681671531725304e-05
